wrong,correct,count,type,reason,note
何能,核能,15,詞彙,ㄏㄜˊ 同音,
和能,核能,12,詞彙,ㄏㄜˊ 同音,
和電,核電,20,詞彙,ㄏㄜˊ 同音,
核費,核廢,10,詞彙,ㄈㄟˋ 近音,
核廢掉,核廢料,95,詞彙,ㄌㄧㄠˋ/ㄉㄧㄠˋ 近音,長詞優先替換
在生能源,再生能源,2,詞彙,ㄗㄞˋ 同音,
三里島,三哩島,10,詞彙,里/哩 混用,Three Mile Island
三立島,三哩島,7,詞彙,立/哩 近音,Three Mile Island
山梨島,三哩島,8,詞彙,連讀誤辨,Three Mile Island
三浬島,三哩島,12,詞彙,浬(海里)/哩(英里),Three Mile Island
共投,公投,5,詞彙,ㄍㄨㄥ 同音,
公頭,公投,2,詞彙,投/頭 近音,
重起,重啟,2,詞彙,起/啟 同音,
黃世修,黃士修,237,NER,世/士 同音 ㄕˋ,核電俠
徐永輝,許永輝,130,NER,徐/許 同音 ㄒㄩ,台電官員
嚴寬恒,顏寬恒,32,NER,嚴/顏 同音 ㄧㄢˊ,立委
激進黨,基進黨,11,NER,激/基 同音 ㄐㄧ,台灣基進
國際原子能組織,國際原子能總署,13,NER,台灣官方譯名為「總署」,IAEA
臺電,台電,304,NER,正字/簡字不一致,統一為台電
吳雅馨,吳亞昕,58,NER,雅馨/亞昕 誤辨,記者/主播
吳雅欣,吳亞昕,9,NER,同上另一版本,記者/主播
